,Name,Website,Total Capital Raised,Company Age,Maximum Employees,Status
215,Base Pair Biotechnologies,http://www.basepairbio.com,3200000.0,8.0,10.0,
216,BaseVenture,https://www.baseventure.com/,5500000.0,5.0,50.0,
217,BASH Gaming,http://www.bashgaming.com,1200000.0,10.0,100.0,
218,Basic6,http://www.basic6.com/,4141599.0,10.0,50.0,
219,Basis,https://www.mybasis.com/,3750000.0,2.0,10.0,
220,Basis Science,http://mybasis.com,43500000.0,10.0,100.0,
221,Basket,https://basket.com/,19594659.0,6.0,10.0,
222,basno,http://basno.com,1000000.0,9.0,50.0,
http://www.autofi.com,,,,,,Yes
https://www.autograph.me,,,,,,No
http://autoidinc.com,,,,,,No
http://www.automatedinsights.com,,,,,,Yes
http://automatic.com,,,,,,No
https://automationhero.ai,,,,,,Yes
https://www.automile.com,,,,,,No
https://www.automizy.com,,,,,,No
https://www.automotivemastermind.com,,,,,,Yes
https://www.automox.com,,,,,,No
http://www.autonetmobile.com,,,,,,No
http://autonomic.ai,,,,,,Yes
http://www.autonomoushealthcare.com,,,,,,No
http://www.automarinesys.com,,,,,,No
http://www.autopilothq.com,,,,,,No
http://www.autovirt.com,,,,,,Yes
https://www.autzu.com,,,,,,Yes
http://www.ava.me,,,,,,No
http://www.eatwithava.com,,,,,,Yes
https://avaamo.ai,,,,,,Yes
http://www.avacen.com/avacen/action?do=welcome,,,,,,No
http://avahealth.com,,,,,,No
http://www.avail.co,,,,,,No
http://www.availsmedical.com,,,,,,Yes
http://www.avalonbattery.com,,,,,,No
